timestamp,rmssd_ms,beats,bpm,feel,sleep_hours,miles,duration_min,rpe,training_load
2026-07-13T10:40:50.162643,88.3,57,71,3,,12.7,90,4,360.0
2026-07-15T19:38:28.937113,105.1,61,59,4,,7.3,52,7,364.0
2026-07-16T07:01:21.583017,59.8,57,58,4,,6.7,49,4,196.0
2026-07-17T07:29:06.081479,94.8,65,66,4,,6.3,45,6,270.0
2026-07-18T09:01:27.759200,96.6,65,67,2,,7.5,55,3,165.0
2026-07-19T14:43:13.742775,110.7,69,68,4,,4.2,30,3,90.0
2026-07-20T18:54:47.289092,76.9,72,72,5,,12.6,87,5,435.0
2026-07-21T14:32:31.449963,103.8,67,67,4,,10,70,4,280.0
2026-07-22T10:38:41.731934,77.2,43,84,5,7.3,6.5,48,7,336.0
2026-07-23T07:43:40.209329,73.2,63,65,3,7,6.3,43,5,215.0
2026-07-24T21:05:32.105702,110.5,59,57,5,8,9.3,60,8,480.0
2026-08-04T09:21:16.125244,93.7,69,71,5,8.33,7.4,50,4,200.0
2026-08-05T09:36:27.890620,106.0,49,69,3,7.3,6.5,45,5,225.0
2026-08-06T09:36:13.261971,99.8,62,66,4,8,5.5,40,6,240.0
2026-08-08T09:11:03.787188,94.4,45,63,C:\Users\Lucas\AppData\Local\Microsoft\WindowsApps\python3.13.exe c:/Users/Lucas/OneDrive/Desktop/hrv-runner/python/logger.py,5,5.5,40,3,120.0
2026-08-09T20:50:19.965597,92.7,59,76,3,7.5,7.7,55,5,275.0
